,year,county,population,median_income,perc_unemployed,perc_poverty,perc_white,normalized_deaths,deaths,cumulative_deaths,normalized_cumulative_deaths
458,6,19,52537,46610,4.816666666666666,12.200000000000001,97.76538439575917,2.2206571876328424e-05,14,60,0.0011396520936639498
459,6,20,38795,53026,5.541666666666667,11.700000000000001,91.88555226188942,1.5036301928942734e-05,7,33,0.0008482025003657826
460,6,21,181821,97802,3.9916666666666667,4.799999999999999,89.29276596212758,7.333219668428473e-06,16,111,0.0006488378933191138
461,6,22,76416,49234,6.541666666666667,13.900000000000004,86.94906825795645,2.181044109436069e-05,20,102,0.0013254032104551997
462,6,23,148067,59921,4.808333333333333,9.599999999999998,89.72762330566569,9.004932451750445e-06,16,117,0.0008067860262548516
463,6,24,28875,44947,5.749999999999999,15.800000000000002,94.35844155844156,3.7518037518037514e-05,13,43,0.001492571968598947
464,6,25,1197592,53164,4.933333333333333,17.300000000000004,69.24587004589208,1.649142612843105e-05,237,1360,0.0011711836900065514
465,6,26,42541,54666,5.675,10.5,95.54547377823747,1.567115645299045e-05,8,56,0.0013134478897113997
466,6,27,30763,36675,6.466666666666666,26.100000000000005,94.61040860774305,2.1671055055315368e-05,8,38,0.0012310481353741086
467,6,28,93819,72264,4.841666666666667,7.799999999999998,96.82580287575011,1.33235272173014e-05,15,76,0.0008095671532499168
468,6,29,163313,59382,4.9750000000000005,13.199999999999998,86.23747037896554,2.602364784187419e-05,51,212,0.0013138974014745902
469,6,30,39794,41940,6.583333333333333,17.199999999999996,95.95416394431321,2.094118041245749e-05,10,46,0.0011465921177368258
470,6,31,803272,48973,5.233333333333333,17.599999999999998,68.89957573524285,2.852914911345929e-05,275,1197,0.0014819542436629496
471,6,32,75290,51498,4.916666666666667,12.700000000000001,93.7176251826272,2.545712135299066e-05,23,75,0.0010013805504803211
472,6,33,31826,45195,5.4750000000000005,19.0,96.19179287375103,2.6184042397201453e-06,1,31,0.0009699005286382785
473,6,34,15698,42582,6.775000000000001,16.900000000000002,95.87208561600205,2.1234127489701447e-05,4,16,0.0010133577821667449
